,GEOID,population,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,eviction-rate,score,raw_score,percentage_vacant_housing_units,percent_college_educated,snaps_percentage,percent_poverty,rent_to_income_ratio,unemployment_rate
8630,391559319004,351.0,61.11,521.0,50000.0,83300.0,21.4,7.78,D,0.137,53.2467532467532,7.2463768115942,53.4722222222222,,10.584,4.5
8631,391559319005,823.0,8.26,,86688.0,114800.0,,0.0,C,0.528,10.3174603174603,37.9518072289157,6.78466076696165,,,4.5
8632,391559319006,767.0,30.45,587.0,74271.0,135500.0,26.6,5.07,D,0.285,14.7540983606557,28.5454545454545,8.01282051282051,,7.17372864240417,4.5
8633,391559319007,1264.0,37.13,777.0,53819.0,114900.0,43.2,7.64,B,0.656,0.0,29.8624754420432,2.45183887915937,,14.604507701741,4.5
8634,391559320001,2317.0,16.02,572.0,49149.0,147800.0,50.0,1.44,C,0.505,9.20810313075506,30.8868501529052,18.5598377281947,,13.9656961484466,10.2
8635,391559320002,890.0,8.79,,39830.0,81200.0,,0.0,C,0.361,0.0,6.25,8.07600950118765,,,10.2
8636,391559320003,626.0,12.81,,42639.0,86000.0,,1.43,C,0.322,18.0803571428571,13.345521023766,16.6212534059946,,,10.2
8637,391559320004,2049.0,9.88,,82171.0,143500.0,50.0,7.55,B,0.860,0.0,44.0974391005621,5.0,,,10.2
8638,391559322001,1005.0,27.96,738.0,44514.0,84300.0,38.0,0.71,C,0.331,6.82352941176471,21.4793741109531,17.4731182795699,,12.6432133710743,4.4
8639,391559322002,902.0,24.09,1028.0,40508.0,57100.0,43.0,4.46,C,0.476,0.0,6.20915032679739,8.40336134453782,,13.3307001086205,4.4
8640,391559322003,805.0,53.94,588.0,35357.0,89200.0,36.6,2.4,D,0.229,23.5404896421846,9.17721518987342,11.576354679803,,17.7843142800577,4.4
8641,391559323001,1395.0,44.88,584.0,37938.0,112100.0,26.3,3.6,C,0.439,5.5858310626703,23.0382293762575,14.1414141414141,,15.7203858927724,4.1
